Temp=33.0C | Hum=58.5% | MQ2=220 | TempRate=+0.00 | MQ2Rate=+0.12 | Prediction=NOT FIRE | Confidence=100%
Temp=35.9C | Hum=55.0% | MQ2=540 | TempRate=+0.08 | MQ2Rate=+7.10 | Prediction=FIRE | Confidence=100%
Temp=35.6C | Hum=55.4% | MQ2=490 | TempRate=-0.05 | MQ2Rate=-9.80 | Prediction=FIRE | Confidence=100%
Temp=35.1C | Hum=55.9% | MQ2=430 | TempRate=-0.12 | MQ2Rate=-14.20 | Prediction=FIRE | Confidence=99%
Temp=34.7C | Hum=56.4% | MQ2=375 | TempRate=-0.15 | MQ2Rate=-15.60 | Prediction=FIRE | Confidence=97%
Temp=34.2C | Hum=57.0% | MQ2=320 | TempRate=-0.15 | MQ2Rate=-14.00 | Prediction=FIRE | Confidence=91%
Temp=33.8C | Hum=57.4% | MQ2=285 | TempRate=-0.12 | MQ2Rate=-10.50 | Prediction=NOT FIRE | Confidence=92%
Temp=33.5C | Hum=57.8% | MQ2=260 | TempRate=-0.08 | MQ2Rate=-7.20 | Prediction=NOT FIRE | Confidence=95%
Temp=33.3C | Hum=58.0% | MQ2=242 | TempRate=-0.05 | MQ2Rate=-4.80 | Prediction=NOT FIRE | Confidence=98%
Temp=33.1C | Hum=58.2% | MQ2=230 | TempRate=-0.03 | MQ2Rate=-2.40 | Prediction=NOT FIRE | Confidence=100%
Temp=33.0C | Hum=58.4% | MQ2=222 | TempRate=-0.01 | MQ2Rate=-0.80 | Prediction=NOT FIRE | Confidence=100%
